,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Plays,Playing,Backlogs,Wishlist
0,1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,2006-11-19,"Nintendo, Nintendo EAD Group No. 2",3.7,775.0,775.0,"Simulator, Sport",18000.0,39.0,320.0,93.0
1,1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,2006-11-19,"Nintendo, Nintendo EAD Group No. 2",3.7,775.0,775.0,"Simulator, Sport",18000.0,39.0,320.0,93.0
2,1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,2006-11-19,"Nintendo, Nintendo EAD Group No. 2",3.7,775.0,775.0,"Simulator, Sport",18000.0,39.0,320.0,93.0
3,2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,1985-09-13,"Nintendo, Nintendo R&D4",3.5,1500.0,1500.0,"Adventure, Platform",18000.0,59.0,733.0,237.0
4,3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,2008-04-10,"Nintendo, Nintendo EAD",3.9,1000.0,1000.0,Racing,19000.0,88.0,461.0,168.0
5,3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,2008-04-10,"Nintendo, Nintendo EAD",3.9,1000.0,1000.0,Racing,19000.0,88.0,461.0,168.0
6,3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,2008-04-10,"Nintendo, Nintendo EAD",3.9,1000.0,1000.0,Racing,19000.0,88.0,461.0,168.0
7,6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,1989-11-01,Nintendo,4.1,688.0,688.0,"Arcade, Puzzle",9600.0,54.0,175.0,66.0
8,6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,1989-11-01,Nintendo,4.1,688.0,688.0,"Arcade, Puzzle",9600.0,54.0,175.0,66.0
9,6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,1989-05-14,Nintendo,4.0,197.0,197.0,Puzzle,2500.0,18.0,76.0,21.0
10,7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,2006-05-15,Nintendo,3.5,991.0,991.0,"Adventure, Platform",16000.0,108.0,824.0,287.0
11,7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,2006-05-15,Nintendo,3.5,991.0,991.0,"Adventure, Platform",16000.0,108.0,824.0,287.0
12,9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,2009-11-12,"Nintendo, Nintendo EAD",3.5,859.0,859.0,"Adventure, Platform",13000.0,85.0,696.0,241.0
13,9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,2009-11-12,"Nintendo, Nintendo EAD",3.5,859.0,859.0,"Adventure, Platform",13000.0,85.0,696.0,241.0
14,12,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,2005-11-14,Nintendo EAD Group No. 1,3.8,857.0,857.0,Racing,15000.0,36.0,417.0,159.0
15,17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,2013-09-17,"Rockstar North, Rockstar Games",3.8,2100.0,2100.0,"Adventure, Shooter",30000.0,829.0,3200.0,664.0
16,17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,2013-09-17,"Rockstar North, Rockstar Games",3.8,2100.0,2100.0,"Adventure, Shooter",30000.0,829.0,3200.0,664.0
17,17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,2013-09-17,"Rockstar North, Rockstar Games",3.8,2100.0,2100.0,"Adventure, Shooter",30000.0,829.0,3200.0,664.0
18,18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,2004-10-26,"Rockstar Games, Rockstar North",4.1,1500.0,1500.0,"Adventure, Racing, Shooter",19000.0,270.0,2400.0,742.0
19,19,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,1990-11-21,"Nintendo, Nintendo EAD",4.2,2100.0,2100.0,"Adventure, Platform",18000.0,218.0,1700.0,460.0
20,23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,1988-10-23,"Nintendo R&D4, Nintendo",4.0,1600.0,1600.0,Platform,14000.0,109.0,1400.0,362.0
21,23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,1988-10-23,"Nintendo R&D4, Nintendo",4.0,1600.0,1600.0,Platform,14000.0,109.0,1400.0,362.0
22,23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,1988-10-23,"Nintendo R&D4, Nintendo",4.0,1600.0,1600.0,Platform,14000.0,109.0,1400.0,362.0
